Term"	"曜日/
Day of Week"	"時限/
Period"	Online	"Zoom 
MTG ID "	"教室/
Classroom"	"講義CD/
Subject CD"	講義名	Subject Name	担当教員	Instructor	"言語/
2Q	月/Mon.	2			T.B.A.	037132EB	環境・開発　特殊講義EB	Special Lecture in Environment and DevelopmentEB	山根 友美	YAMANE Tomomi	E	5	専門/Major	APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects(*1) 
Semester	月/Mon.	3			D108	010091AG	日本語初級Ⅱ AG	Japanese Foundation Course II AG	板橋 民子	ITABASHI Tamiko		1	言語/Language	-
Semester	月/Mon.	3			F207	010091AH	日本語初級Ⅱ AH	Japanese Foundation Course II AH	後藤 美智子	GOTO Michiko		1	言語/Language	-
Semester	月/Mon.	3			F303	010091BA	日本語初級Ⅱ BA	Japanese Foundation Course II BA	米 冰寒	MI Binghan		1	言語/Language	-
Semester	月/Mon.	3			F208	010091BB	日本語初級Ⅱ BB	Japanese Foundation Course II BB	栃原 玲子	TOCHIHARA Reiko		1	言語/Language	-
Semester	月/Mon.	3			F211	010091BC	日本語初級Ⅱ BC	Japanese Foundation Course II BC	山門 健二	YAMADO Kenji		1	言語/Language	-
Semester	月/Mon.	3			FⅡ229	010091BD	日本語初級Ⅱ BD	Japanese Foundation Course II BD	バナ 登美子	BONNAH Tomiko		1	言語/Language	-
Semester	月/Mon.	3			F205	010091BE	日本語初級Ⅱ BE	Japanese Foundation Course II BE	井筒 琴子	IZUTSU Kotomi		1	言語/Language	-
Semester	月/Mon.	3			F302	010091BF	日本語初級Ⅱ BF	Japanese Foundation Course II BF	大内 由紀	OUCHI Yuki		1	言語/Language	-
Semester	月/Mon.	3			F212	010092BJ	日本語初級Ⅲ BJ	Japanese Foundation Course III BJ	石村 文恵	ISHIMURA Fumie		1	言語/Language	-
Semester	月/Mon.	3			D213	010092BL	日本語初級Ⅲ BL	Japanese Foundation Course III BL	山田 祐也	YAMADA YUYA		1	言語/Language	-
Semester	月/Mon.	3			FⅡ230	010092BM	日本語初級Ⅲ BM	Japanese Foundation Course III BM	高野 涼子	TAKANO Ryoko		1	言語/Language	-
Semester	月/Mon.	3			F112	010101BA	日本語中級 BA	Japanese Intermediate Course BA	住田 環	SUMIDA Tamaki		1	言語/Language	-
Semester	月/Mon.	3			F206	010101BB	日本語中級 BB	Japanese Intermediate Course BB	吉田 真宏	YOSHIDA Masahiro		1	言語/Language	-
Semester	月/Mon.	3			D107	010101BC	日本語中級 BC	Japanese Intermediate Course BC	深山 道助	MIYAMA MICHISUKE		1	言語/Language	-
Semester	月/Mon.	3			F214	010101BD	日本語中級 BD	Japanese Intermediate Course BD	小野田 千絵	ONODA Chie		1	言語/Language	-
